"","Class","Order","SubOrder","SuperFamily","Family","SubFamily","Genus","Species"
"Acanthosomatidae.sp1","Insecta","Hemiptera","Heteroptera","Pentatomoidea","Acanthosomatidae",NA,NA,NA
"Acanthosomatidae.sp2","Insecta","Hemiptera","Heteroptera","Pentatomoidea","Acanthosomatidae",NA,NA,NA
"Acanthosomatidae.sp3","Insecta","Hemiptera","Heteroptera","Pentatomoidea","Acanthosomatidae",NA,NA,NA
"Acanthosomatidae.sp4","Insecta","Hemiptera","Heteroptera","Pentatomoidea","Acanthosomatidae",NA,NA,NA
"Achaearanea.sp","Arachnida","Araneae","Araneomorphae","Araneoidea","Theridiidae",NA,"Achaearanea",NA
"Acrididae.sp1","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp10","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp11","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp12","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp13","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp14","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp15","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp16","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp17","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp18","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp19","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp2","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp3","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp4","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp5","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp6","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp7","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp8","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Acrididae.sp9","Insecta","Orthoptera","Caelifera","Acridoidea","Acrididae",NA,NA,NA
"Adelophaga.sp1","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp2","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp3","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp4","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp5","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp6","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Adelophaga.sp7","Insecta","Coleoptera","Polyphaga","Curculionoidea","Curculionidae","Adelognatha",NA,NA
"Aeolothripidae.sp1","Insecta","Thysanoptera","Terebrantia",NA,"Aeolothripidae",NA,NA,NA
"Aeolothripidae.sp2","Insecta","Thysanoptera","Terebrantia",NA,"Aeolothripidae",NA,NA,NA
"Afropisaura.sp1","Arachnida","Araneae","Araneomorphae",NA,"Pisauridae",NA,"Afropisaura",NA
"Afropisaura.sp2","Arachnida","Araneae","Araneomorphae",NA,"Pisauridae",NA,"Afropisaura",NA
"Aleyrodidae.sp1","Insecta","Hemiptera","Sternorrhyncha","Aleyrodoidea","Aleyrodidae",NA,NA,NA
"Aleyrodidae.sp2","Insecta","Hemiptera","Sternorrhyncha","Aleyrodoidea","Aleyrodidae",NA,NA,NA
"Alticinae.sp","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Alticinae",NA,NA
"Anthocoridae.sp1","Insecta","Hemiptera","Heteroptera","Cimicoidea","Anthocoridae",NA,NA,NA
"Anthocoridae.sp2","Insecta","Hemiptera","Heteroptera","Cimicoidea","Anthocoridae",NA,NA,NA
"Anthocoridae.sp3","Insecta","Hemiptera","Heteroptera","Cimicoidea","Anthocoridae",NA,NA,NA
"Anthocoridae.sp4","Insecta","Hemiptera","Heteroptera","Cimicoidea","Anthocoridae",NA,NA,NA
"Aphanisticus.sp","Insecta","Coleoptera","Polyphaga","Buprestoidea","Buprestidae","Agrilinae","Aphanisticus",NA
"Aphidoidea.sp1","Insecta","Hemiptera","Sternorrhyncha","Aphidoidea",NA,NA,NA,NA
"Aphidoidea.sp2","Insecta","Hemiptera","Sternorrhyncha","Aphidoidea",NA,NA,NA,NA
"Aphrophoridae.sp1","Insecta","Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae",NA,NA,NA
"Aphrophoridae.sp2","Insecta","Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae",NA,NA,NA
"Aphrophoridae.sp3","Insecta","Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae",NA,NA,NA
"Aphrophoridae.sp4","Insecta","Hemiptera","Auchenorrhyncha","Cercopoidea","Aphrophoridae",NA,NA,NA
"Apionidae.sp1","Insecta","Coleoptera","Polyphaga","Curculionoidea","Apionidae",NA,NA,NA
"Apionidae.sp2","Insecta","Coleoptera","Polyphaga","Curculionoidea","Apionidae",NA,NA,NA
"Apionidae.sp3","Insecta","Coleoptera","Polyphaga","Curculionoidea","Apionidae",NA,NA,NA
"Apionidae.sp4","Insecta","Coleoptera","Polyphaga","Curculionoidea","Apionidae",NA,NA,NA
"Apionidae.sp5","Insecta","Coleoptera","Polyphaga","Curculionoidea","Apionidae",NA,NA,NA
"Arachnura.scorpionoides","Arachnida","Araneae","Araneomorphae","Araneoidea","Araneidae",NA,"Arachnura","Arachnura.scorpionoides"
"Araneus.holzapfelae","Arachnida","Araneae","Araneomorphae","Araneoidea","Araneidae",NA,"Araneus","Araneus.holzapfelae"
"Asilidae.sp","Insecta","Diptera","Brachycera","Asiloidea","Asilidae",NA,NA,NA
"Blissidae.sp","Insecta","Hemiptera","Heteroptera","Lygaeoidea","Blissidae",NA,NA,NA
"Bonaspeia.sp1","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Bonaspeia",NA
"Bonaspeia.sp2","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Bonaspeia",NA
"Bonaspeia.sp3","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Bonaspeia",NA
"Bruchidae.sp1","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Bruchinae",NA,NA
"Bruchidae.sp2","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Bruchinae",NA,NA
"Caffrolix.sp1","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Caffrolix",NA
"Caffrolix.sp2","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Caffrolix",NA
"Caffrolix.sp3","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Caffrolix",NA
"Caffrolix.sp4","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Caffrolix",NA
"Camillina.sp1","Arachnida","Araneae","Araneomorphae",NA,"Gnaphosidae",NA,"Camillina",NA
"Camillina.sp2","Arachnida","Araneae","Araneomorphae",NA,"Gnaphosidae",NA,"Camillina",NA
"Capoideus.cruciatus","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae","Capoideus","Capoideus.cruciatus"
"Carabidae.sp1","Insecta","Coleoptera","Adephaga","Caraboidea","Carabidae",NA,NA,NA
"Carabidae.sp2","Insecta","Coleoptera","Adephaga","Caraboidea","Carabidae",NA,NA,NA
"Carabidae.sp3","Insecta","Coleoptera","Adephaga","Caraboidea","Carabidae",NA,NA,NA
"Cecidomyiidae.sp1","Insecta","Diptera","Nematocera","Sciaroidea","Cecidomyiidae",NA,NA,NA
"Cecidomyiidae.sp3","Insecta","Diptera","Nematocera","Sciaroidea","Cecidomyiidae",NA,NA,NA
"Cecidomyiidae.sp4","Insecta","Diptera","Nematocera","Sciaroidea","Cecidomyiidae",NA,NA,NA
"Cephalelini.sp1","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cephalelini.sp2","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cephalelini.sp3","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cephalelini.sp4","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cephalelini.sp5","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cephalelini.sp6","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Ulopinae",NA,NA
"Cerambycidae.sp1","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Cerambycidae",NA,NA,NA
"Ceratinopsis.sp1","Arachnida","Araneae","Araneomorphae","Araneoidea","Linyphiidae",NA,"Ceratinopsis",NA
"Ceratinopsis.sp2","Arachnida","Araneae","Araneomorphae","Araneoidea","Linyphiidae",NA,"Ceratinopsis",NA
"Chamaemyiidae.sp","Insecta","Diptera","Brachycera","Lauxanioidea","Chamaemyiidae",NA,NA,NA
"Chariobas.lineatus","Arachnida","Araneae","Araneomorphae",NA,"Zodariidae",NA,"Chariobas","Chariobas.lineatus"
"Cheiracanthium.sp","Arachnida","Araneae","Araneomorphae",NA,"Eutichuridae",NA,"Cheiracanthium",NA
"Chloropidea.sp","Insecta","Diptera","Brachycera","Carnoidea","Chloropidae",NA,NA,NA
"Chilocorus.negritus","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae","Chilocorinae","Chilocorus","Chilocorus.negritus"
"Chrysomelidae.sp1","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp10","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp11","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp16","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp17","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp2","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp3","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp4","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp5","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp6","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp7","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp8","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelidae.sp9","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae",NA,NA,NA
"Chrysomelinae.sp1","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Chrysomelinae",NA,NA
"Chrysomelinae.sp2","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Chrysomelinae",NA,NA
"Chrysomelinae.sp3","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Chrysomelinae",NA,NA
"Chrysomelinae.sp4","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Chrysomelinae",NA,NA
"Chrysomelinae.sp5","Insecta","Coleoptera","Polyphaga","Chrysomeloidea","Chrysomelidae","Chrysomelinae",NA,NA
"Chrysopidae.sp1","Insecta","Neuroptera","Hemerobiiformia","Chrysopoidea","Chrysopidae",NA,NA,NA
"Cicadellidae.sp1","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp2","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp3","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp4","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp5","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp7","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cicadellidae.sp8","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae",NA,NA,NA
"Cleridae.sp1","Insecta","Coleoptera","Polyphaga","Cleroidea","Cleridae",NA,NA,NA
"Cleridae.sp2","Insecta","Coleoptera","Polyphaga","Cleroidea","Cleridae",NA,NA,NA
"Cleridae.sp3","Insecta","Coleoptera","Polyphaga","Cleroidea","Cleridae",NA,NA,NA
"Clonia.sp","Insecta","Orthoptera","Ensifera","Tettigonioidea","Tettigoniidae","Saginae","Clonia",NA
"Clubiona.abbajensis","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona","Clubiona.abbajensis"
"Clubiona.sp1","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp10","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp11","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp12","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp2","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp3","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp4","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp5","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp7","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp8","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Clubiona.sp9","Arachnida","Araneae","Araneomorphae",NA,"Clubionidae",NA,"Clubiona",NA
"Coccinellidae.sp1","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp2","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp3","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp4","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp5","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp6","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp7","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp8","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccinellidae.sp9","Insecta","Coleoptera","Polyphaga","Cucujoidea","Coccinellidae",NA,NA,NA
"Coccoidea.sp2","Insecta","Hemiptera","Sternorrhyncha","Coccoidea",NA,NA,NA,NA
"Coccoidea.sp3","Insecta","Hemiptera","Sternorrhyncha","Coccoidea",NA,NA,NA,NA
"Coccoidea.sp4","Insecta","Hemiptera","Sternorrhyncha","Coccoidea",NA,NA,NA,NA
"Coccoidea.sp5","Insecta","Hemiptera","Sternorrhyncha","Coccoidea",NA,NA,NA,NA
"Coleosoma.sp","Arachnida","Araneae","Araneomorphae","Araneoidea","Theridiidae",NA,"Coleosoma",NA
"Coniopterygidae.sp1","Insecta","Neuroptera","Hemerobiiformia","Coniopterygoidea","Coniopterygidae",NA,NA,NA
"Coniopterygidae.sp2","Insecta","Neuroptera","Hemerobiiformia","Coniopterygoidea","Coniopterygidae",NA,NA,NA
"Coniopterygidae.sp3","Insecta","Neuroptera","Hemerobiiformia","Coniopterygoidea","Coniopterygidae",NA,NA,NA
"Coniopterygidae.sp4","Insecta","Neuroptera","Hemerobiiformia","Coniopterygoidea","Coniopterygidae",NA,NA,NA
"Coniopterygidae.sp5","Insecta","Neuroptera","Hemerobiiformia","Coniopterygoidea","Coniopterygidae",NA,NA,NA
"Cyatholipus.quadrimaculatus","Arachnida","Araneae","Araneomorphae","Araneoidea","Cyatholipidae",NA,"Cyatholipus","Cyatholipus.quadrimaculatus"
"Cybocephalus.sp","Insecta","Coleoptera","Polyphaga","Cucujoidea","Cybocephalidae",NA,"Cybocephalus",NA
"Cyclosa.sp","Arachnida","Araneae","Araneomorphae","Araneoidea","Araneidae",NA,"Cyclosa",NA
"Cyrtophora.citricola","Arachnida","Araneae","Araneomorphae","Araneoidea","Araneidae",NA,"Cyrtophora","Cyrtophora.citricola"
"Delphacidae.sp1","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp2","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp3","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp4","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp5","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp6","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp7","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Delphacidae.sp8","Insecta","Hemiptera","Auchenorrhyncha","Fulgoroidea","Delphacidae",NA,NA,NA
"Deltocephalinae.sp1","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp10","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp11","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp12","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp13","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp14","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp15","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp16","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
"Deltocephalinae.sp17","Insecta","Hemiptera","Auchenorrhyncha","Membracoidea","Cicadellidae","Deltocephalinae",NA,NA
