"","Division","Clade","Order","Family","Genus","Species"
"Protea.repens","Angiosperms","Eudicots","Proteales","Proteaceae","Protea","Protea.repens"
"Protea.nerifolia","Angiosperms","Eudicots","Proteales","Proteaceae","Protea","Protea.nerifolia"
"Protea.coronata","Angiosperms","Eudicots","Proteales","Proteaceae","Protea","Protea.coronata"
"Cliffortia.cuneata","Angiosperms","Eudicots","Rosales","Rosaceae","Cliffortia","Cliffortia.cuneata"
"Protea.nitida","Angiosperms","Eudicots","Proteales","Proteaceae","Protea","Protea.nitida"
"Leucadendron.salignum","Angiosperms","Eudicots","Proteales","Proteaceae","Leucadendron","Leucadendron.salignum"
"Leucadendron.rubrum","Angiosperms","Eudicots","Proteales","Proteaceae","Leucadendron","Leucadendron.rubrum"
"Leucadendron.salicifolium","Angiosperms","Eudicots","Proteales","Proteaceae","Leucadendron","Leucadendron.salicifolium"
"Leucadendron.spissifolium","Angiosperms","Eudicots","Proteales","Proteaceae","Leucadendron","Leucadendron.spissifolium"
"Leucospermum.lineare","Angiosperms","Eudicots","Proteales","Proteaceae","Leucospermum","Leucospermum.lineare"
"Penaea.mucronata","Angiosperms","Eudicots","Myrtales","Penaeaceae","Penaea","Penaea.mucronata"
"Rutaceae.sp1","Angiosperms","Eudicots","Sapindales","Rutaceae",NA,NA
"Rutaceae.sp3","Angiosperms","Eudicots","Sapindales","Rutaceae",NA,NA
"Diosma.hirsuta","Angiosperms","Eudicots","Sapindales","Rutaceae","Diosma","Diosma.hirsuta"
"Watsonia.borbonica","Angiosperms","Monocots","Asparagales","Iridaceae","Watsonia","Watsonia.borbonica"
"Stoebe.cinerea","Angiosperms","Eudicots","Asterales","Asteraceae","Stoebe","Stoebe.cinerea"
"Elytropappus.longifolius","Angiosperms","Eudicots","Asterales","Asteraceae","Elytropappus","Elytropappus.longifolius"
"Stoebe.plumosa","Angiosperms","Eudicots","Asterales","Asteraceae","Stoebe","Stoebe.plumosa"
"Aspalathus.pachyloba","Angiosperms","Eudicots","Fabales","Fabaceae","Aspalathus","Aspalathus.pachyloba"
"Asteraceae.sp1","Angiosperms","Eudicots","Asterales","Asteraceae",NA,NA
"Clutia.sp1","Angiosperms","Eudicots","Malpighiales","Euphorbiaceae","Clutia",NA
"Anthospermum.spathulatum","Angiosperms","Eudicots","Gentianales","Rubiaceae","Anthospermum","Anthospermum.spathulatum"
"Anthospermum.sp2","Angiosperms","Eudicots","Gentianales","Rubiaceae","Anthospermum",NA
"Metalasia.sp","Angiosperms","Eudicots","Asterales","Asteraceae","Metalasia",NA
"Erica.nudiflora","Angiosperms","Eudicots","Ericales","Ericaceae","Erica","Erica.nudiflora"
"Erica.plukenetti","Angiosperms","Eudicots","Ericales","Ericaceae","Erica","Erica.plukenetti"
"Erica.sp1","Angiosperms","Eudicots","Ericales","Ericaceae","Erica",NA
"Erica.sp2","Angiosperms","Eudicots","Ericales","Ericaceae","Erica",NA
"Erica.lucida","Angiosperms","Eudicots","Ericales","Ericaceae","Erica","Erica.lucida"
"Erica.cerinthoides","Angiosperms","Eudicots","Ericales","Ericaceae","Erica","Erica.cerinthoides"
"Microdon.dubius","Angiosperms","Eudicots","Lamiales","Scrophulariaceae","Microdon","Microdon.dubius"
"Senecio.pinifolius","Angiosperms","Eudicots","Asterales","Asteraceae","Senecio","Senecio.pinifolius"
"Bobartia.indica","Angiosperms","Monocots","Asparagales","Iridaceae","Bobartia","Bobartia.indica"
"Protea.acaulos","Angiosperms","Eudicots","Proteales","Proteaceae","Protea","Protea.acaulos"
"Nanobucon.strictum","Angiosperms","Eudicots","Apiales","Apiaceae","Nanobucon","Nanobucon.strictum"
"Gnidia.sp1","Angiosperms","Eudicots","Malvales","Thymelaeaceae","Gnidia",NA
"Gnidia.sp2","Angiosperms","Eudicots","Malvales","Thymelaeaceae","Gnidia",NA
"Asteraceae.sp6","Angiosperms","Eudicots","Asterales","Asteraceae",NA,NA
"Berkheya.armata","Angiosperms","Eudicots","Asterales","Asteraceae","Berkheya","Berkheya.armata"
"Asteraceae.sp10","Angiosperms","Eudicots","Asterales","Asteraceae",NA,NA
"Tetraria.sp1","Angiosperms","Monocots","Poales","Cyperaceae","Tetraria",NA
"Poaceae.sp1","Angiosperms","Monocots","Poales","Poaceae",NA,NA
"Pentameris.colorata","Angiosperms","Monocots","Poales","Poaceae","Pentameris","Pentameris.colorata"
"Poaceae.sp5","Angiosperms","Monocots","Poales","Poaceae",NA,NA
"Ficinia.sp1","Angiosperms","Monocots","Poales","Cyperaceae","Ficinia",NA
"Poaceae.sp2","Angiosperms","Monocots","Poales","Poaceae",NA,NA
"Poaceae.sp4","Angiosperms","Monocots","Poales","Poaceae",NA,NA
"Pentameris.curvifolia","Angiosperms","Monocots","Poales","Poaceae","Pentameris","Pentameris.curvifolia"
"Cyperaceae.sp4","Angiosperms","Monocots","Poales","Cyperaceae","Cyperaceae",NA
"Cyperaceae.sp1","Angiosperms","Monocots","Poales","Cyperaceae",NA,NA
"Cyperaceae.sp3","Angiosperms","Monocots","Poales","Cyperaceae",NA,NA
"Poaceae.sp6","Angiosperms","Monocots","Poales","Poaceae",NA,NA
"Corymbium.sp1","Angiosperms","Eudicots","Asterales","Asteraceae","Corymbium",NA
"Schizaea.pectinata","Pteridophyta","Polypodiopsida","Schizaeales","Schizaeaceae","Schizaea","Schizaea.pectinata"
"Corymbium.sp2","Angiosperms","Eudicots","Asterales","Asteraceae","Corymbium",NA
"Aristea.capitata","Angiosperms","Monocots","Asparagales","Iridaceae","Aristea","Aristea.capitata"
"Tritoniopsis.ramosa","Angiosperms","Monocots","Asparagales","Iridaceae","Tritoniopsis","Tritoniopsis.ramosa"
"Hypodiscus.aristatus","Angiosperms","Monocots","Poales","Restionaceae","Hypodiscus","Hypodiscus.aristatus"
"Restio.sp1","Angiosperms","Monocots","Poales","Restionaceae","Restio",NA
"Restio.sp2","Angiosperms","Monocots","Poales","Restionaceae","Restio",NA
"Restio.sp3","Angiosperms","Monocots","Poales","Restionaceae","Restio",NA
"Elegia.persistens","Angiosperms","Monocots","Poales","Restionaceae","Elegia","Elegia.persistens"
"Cannomois.virgata","Angiosperms","Monocots","Poales","Restionaceae","Cannomois","Cannomois.virgata"
"Ursinia.paleacea","Angiosperms","Eudicots","Asterales","Asteraceae","Ursinia","Ursinia.paleacea"
"Senecio.quinquedentata","Angiosperms","Eudicots","Asterales","Asteraceae","Senecio","Senecio.quinquedentata"
"Clutia.alaternoides","Angiosperms","Eudicots","Malpighiales","Euphorbiaceae","Clutia","Clutia.alaternoides"
"Lichtensteinia.sp","Angiosperms","Eudicots","Apiales","Apiaceae","Lichtensteinia",NA
"Oxalis.versicolor","Angiosperms","Eudicots","Oxalidales","Oxalidaceae","Oxalis","Oxalis.versicolor"
"Scabiosa.sp1","Angiosperms","Eudicots","Asterales","Asteraceae","Scabiosa",NA
"Orchidaceae.sp1","Angiosperms","Monocots","Asparagales","Orchidaceae",NA,NA
"Otholobium.sp","Angiosperms","Eudicots","Fabales","Fabaceae","Otholobium",NA
"Oxalis.lanata","Angiosperms","Eudicots","Oxalidales","Oxalidaceae","Oxalis","Oxalis.lanata"
"Gnaphalium.sp1","Angiosperms","Eudicots","Asterales","Asteraceae","Gnaphalium",NA
"Montinia.caryophyllacea","Angiosperms","Eudicots","Solanales","Montiniaceae","Montinia","Montinia.caryophyllacea"
"Pelargonium.myrrhifolium","Angiosperms","Eudicots","Geraniales","Geraniaceae","Pelargonium","Pelargonium.myrrhifolium"
"Diospyros.glabra","Angiosperms","Eudicots","Ericales","Ebenaceae","Diospyros","Diospyros.glabra"
"Centella.glabrata","Angiosperms","Eudicots","Apiales","Apiaceae","Centella","Centella.glabrata"
"Cassytha.ciliolata","Angiosperms","Magnoliids","Laurales","Lauraceae","Cassytha","Cassytha.ciliolata"
"Euphorbia.sp1","Angiosperms","Eudicots","Malpighiales","Euphorbiaceae","Euphorbia",NA
"Asparagus.sp1","Angiosperms","Monocots","Asparagales","Asparagaceae","Asparagus",NA
"Pteridium.aquilinum","Pteridophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","Pteridium","Pteridium.aquilinum"
"Maytenus.oleoides","Angiosperms","Eudicots","Celastrales","Celastraceae","Maytenus","Maytenus.oleoides"
"Cyphia.sp","Angiosperms","Eudicots","Asterales","Campanulaceae","Cyphia",NA
"Caesia.contorta","Angiosperms","Monocots","Asparagales","Asphodelaceae","Caesia","Caesia.contorta"
"Otholobium.rotundifolium","Angiosperms","Eudicots","Fabales","Fabaceae","Otholobium","Otholobium.rotundifolium"
"Gerbera.sp2","Angiosperms","Eudicots","Asterales","Asteraceae","Gerbera",NA
"Pelargonium.tabulare","Angiosperms","Eudicots","Geraniales","Geraniaceae","Pelargonium","Pelargonium.tabulare"
"Muraltia.sp","Angiosperms","Eudicots","Fabales","Polygalaceae","Muraltia",NA
"Searsia.sp2","Angiosperms","Eudicots","Sapindales","Anacardiaceae","Searsia",NA
"Pelargonium.pinnatum","Angiosperms","Eudicots","Geraniales","Geraniaceae","Pelargonium","Pelargonium.pinnatum"
"Phylica.spicata","Angiosperms","Eudicots","Rosales","Rhamnaceae","Phylica","Phylica.spicata"
"Oxalis.sp1","Angiosperms","Eudicots","Oxalidales","Oxalidaceae","Oxalis",NA
"Thesium.sp1","Angiosperms","Eudicots","Santalales","Santalaceae","Thesium",NA
"Oxalis.truncatula","Angiosperms","Eudicots","Oxalidales","Oxalidaceae","Oxalis","Oxalis.truncatula"
"Pelargonium.longifolium","Angiosperms","Eudicots","Geraniales","Geraniaceae","Pelargonium","Pelargonium.longifolium"
"Asteraceae.sp8","Angiosperms","Eudicots","Asterales","Asteraceae",NA,NA
"Lobelia.sp","Angiosperms","Eudicots","Asterales","Campanulaceae","Lobelia",NA
"Thesium.sp2","Angiosperms","Eudicots","Santalales","Santalaceae","Thesium",NA
"Gerbera.linnaei","Angiosperms","Eudicots","Asterales","Asteraceae","Gerbera","Gerbera.linnaei"
"Wachendorfia.paniculata","Angiosperms","Monocots","Commelinales","Haemodoraceae","Wachendorfia","Wachendorfia.paniculata"
"Searsia.sp3","Angiosperms","Eudicots","Sapindales","Anacardiaceae","Searsia",NA
"Crossyne.guttata","Angiosperms","Monocots","Asparagales","Amaryllidaceae","Crossyne","Crossyne.guttata"
"Brunia.noduliflora","Angiosperms","Eudicots","Bruniales","Bruniaceae","Brunia","Brunia.noduliflora"
"Sebaea.zeyheri","Angiosperms","Eudicots","Gentianales","Gentianaceae","Sebaea","Sebaea.zeyheri"
"Albuca.flaccida","Angiosperms","Monocots","Asparagales","Hyacinthaceae","Albuca","Albuca.flaccida"
"Trachyandra.hirsuta","Angiosperms","Monocots","Asparagales","Asphodelaceae","Trachyandra","Trachyandra.hirsuta"
"Anthospermum.galioides","Angiosperms","Eudicots","Gentianales","Rubiaceae","Anthospermum","Anthospermum.galioides"
"Unknown.sp5","Angiosperms","Eudicots","Sapindales","Anacardiaceae","Searsia",NA
"Drosera.capensis","Angiosperms","Eudicots","Caryophyllales","Droseraceae","Drosera","Drosera.capensis"
"Eriospermum.sp","Angiosperms","Monocots","Asparagales","Asparagaceae","Eriospermum",NA
"Unknown.sp6","Angiosperms",NA,NA,NA,NA,NA
"Hakea.sericea","Angiosperms","Eudicots","Proteales","Proteaceae","Hakea","Hakea.sericea"
"Asteraceae.sp13","Angiosperms","Eudicots","Asterales","Asteraceae",NA,NA
"Aspalathus.crenata","Angiosperms","Eudicots","Fabales","Fabaceae","Aspalathus","Aspalathus.crenata"
"Mimetes.cuculatus","Angiosperms","Eudicots","Proteales","Proteaceae","Mimetes","Mimetes.cuculatus"
"Widdringtonia.nodiflora","Coniferophyta","Pinopsida","Pinales","Cupressaceae","Widdringtonia","Widdringtonia.nodiflora"
"Erica.coccinea","Angiosperms","Eudicots","Ericales","Ericaceae","Erica","Erica.coccinea"
"Helichrysum.tinctum","Angiosperms","Eudicots","Asterales","Asteraceae","Helichrysum","Helichrysum.tinctum"
"Unknown.sp3","Angiosperms",NA,NA,NA,NA,NA
"Pseudoselago.spuria","Angiosperms","Eudicots","Lamiales","Scrophulariaceae","Pseudoselago","Pseudoselago.spuria"
"Podalyria.sp","Angiosperms","Eudicots","Fabales","Fabaceae","Podalyria",NA
"Unknown.sp7","Angiosperms",NA,NA,NA,NA,NA
"Anthospermum.sp3","Angiosperms","Eudicots","Gentianales","Rubiaceae","Anthospermum",NA
"Osteospermum.sp","Angiosperms","Eudicots","Asterales","Asteraceae","Osteospermum",NA
"Agathosma.sp","Angiosperms","Eudicots","Sapindales","Rutaceae","Agathosma",NA
